active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
2007-054N,32557,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,N,Y,DELTA 4H DEB,2007-054N,32557,
2007-054P,32558,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,P,Y,DELTA 4H DEB,2007-054P,32558,
2007-054Q,32559,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,Q,Y,DELTA 4H DEB,2007-054Q,32559,
2007-054T,32562,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,T,Y,DELTA 4H DEB,2007-054T,32562,
2007-054U,32563,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,U,Y,DELTA 4H DEB,2007-054U,32563,
2007-054V,32564,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,V,Y,DELTA 4H DEB,2007-054V,32564,
2007-054W,32565,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,W,Y,DELTA 4H DEB,2007-054W,32565,
2007-054X,32566,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,X,Y,DELTA 4H DEB,2007-054X,32566,
2007-054Y,32567,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,Y,Y,DELTA 4H DEB,2007-054Y,32567,
2007-054Z,32568,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,Z,Y,DELTA 4H DEB,2007-054Z,32568,
2007-054AB,32570,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,AB,Y,DELTA 4H DEB,2007-054AB,32570,
2007-054AC,32571,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,AC,Y,DELTA 4H DEB,2007-054AC,32571,
2007-054AD,32572,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,AD,Y,DELTA 4H DEB,2007-054AD,32572,
2007-054AG,32575,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,AG,Y,DELTA 4H DEB,2007-054AG,32575,
2007-054AJ,32577,DEBRIS,DELTA 4H DEB,US,2007-11-11,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1487,2007,54,AJ,Y,DELTA 4H DEB,2007-054AJ,32577,
1991-017D,25589,DEBRIS,TITAN 4 DEB,US,1991-03-08,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,2409,1991,17,D,Y,TITAN 4 DEB,1991-017D,25589,
